atp1 atp2 c12                    c12_45                 old_rc12               source
NR   CH2r 2.064082678151929e-06  0.0                    4.2408322297796346e-06 #atdhisto_c12
NR   S    2.0256699201216162e-06 0.0                    2.0256699201216162e-06 #rc12
NR   SM   1.7356754565546296e-06 0.0                    2.0256699201216162e-06 #atdhisto_c12
NR   SH   1.1128214538294811e-06 0.0                    2.0256699201216162e-06 #atdhisto_c12
NR   H    1.1109248026469242e-09 1.003911895429072e-08  3.7122782015431085e-08 #atdhisto_c12
NZ   NZ   4.339756224213911e-07  0.0                    8.75284823952248e-07   #atdhisto_c12
NZ   NE   7.013840414318058e-07  0.0                    8.75284823952248e-07   #atdhisto_c12
NZ   C    1.8933619871479337e-06 0.0                    1.508127506152659e-06  #atdhisto_c12
NZ   CR   1.4558184529108867e-06 0.0                    1.508127506152659e-06  #atdhisto_c12
NZ   CS   1.0161170406288952e-06 0.0                    1.508127506152659e-06  #atdhisto_c12
NZ   CZ   1.0161170406288952e-06 0.0                    1.508127506152659e-06  #atdhisto_c12
NZ   CH   1.1128214538294811e-06 0.0                    1.508127506152659e-06  #atdhisto_c12
NZ   CH1  6.012808612204707e-06  0.0                    7.574982932969631e-06  #atdhisto_c12
NZ   CH1t 3.421320847663108e-06  0.0                    7.574982932969631e-06  #atdhisto_c12
NZ   CAH  3.7144078137182355e-06 0.0                    7.574982932969631e-06  #atdhisto_c12
NZ   CH2  2.064082678151929e-06  1.1128214538294811e-06 3.6760332838792072e-06 #atdhisto_c12
NZ   CAH2 1.59011205135462e-06   0.0                    3.6760332838792072e-06 #atdhisto_c12
NZ   CH3  1.4558184529108867e-06 0.0                    2.742900219889418e-06  #atdhisto_c12
NZ   CH2r 1.7356754565546296e-06 0.0                    3.2327146659727425e-06 #atdhisto_c12
NZ   S    1.544133911550011e-06  0.0                    1.544133911550011e-06  #rc12
NZ   SM   1.2178965067259558e-06 0.0                    1.544133911550011e-06  #atdhisto_c12
NZ   SH   9.271725969950735e-07  0.0                    1.544133911550011e-06  #atdhisto_c12
NZ   H    4.543781405690857e-08  0.0                    2.8298068718749842e-08 #atdhisto_c12
NE   NE   1.4558184529108867e-06 0.0                    8.75284823952248e-07   #atdhisto_c12
NE   C    3.7144078137182355e-06 7.596342311330096e-06  1.508127506152659e-06  #atdhisto_c12
NE   CR   2.248809725327641e-06  0.0                    1.508127506152659e-06  #atdhisto_c12
NE   CS   1.2178965067259558e-06 0.0                    1.508127506152659e-06  #atdhisto_c12
NE   CZ   1.59011205135462e-06   0.0                    1.508127506152659e-06  #atdhisto_c12
NE   CH   1.59011205135462e-06   0.0                    1.508127506152659e-06  #atdhisto_c12
NE   CH1  1.110557678004124e-05  0.0                    7.574982932969631e-06  #atdhisto_c12
NE   CH1t 6.012808612204707e-06  0.0                    7.574982932969631e-06  #atdhisto_c12
NE   CAH  1.0303119972742315e-05 7.030422589392208e-06  7.574982932969631e-06  #atdhisto_c12
